close_time,trading_pair,open,close,high,low,volume,trades_amount
1678579200,ETHUSDT,1459.68,1471.97,1478.07,1458.38,24802.584,36371590
1678575600,ETHUSDT,1465.04,1459.69,1468.92,1457.38,19666.553,28770608
1678572000,ETHUSDT,1466.2,1465.03,1469.19,1457.51,33629.67,49195664
1678568400,ETHUSDT,1449.22,1466.21,1470.0,1449.21,58938.742,86078175
1678564800,ETHUSDT,1448.59,1449.22,1452.19,1443.87,27683.53,40074966
1678561200,ETHUSDT,1449.44,1448.59,1457.04,1445.64,48812.117,70837260
1678557600,ETHUSDT,1431.94,1449.43,1455.97,1430.26,62331.22,89985650
1678554000,ETHUSDT,1428.0,1431.93,1433.38,1422.32,41538.723,59301745
1678550400,ETHUSDT,1432.45,1428.01,1436.0,1426.11,27571.994,39463511
1678546800,ETHUSDT,1429.3,1432.44,1436.0,1427.54,35619.86,51022528
1678543200,ETHUSDT,1426.25,1429.29,1435.9,1426.11,24920.848,35674329
1678539600,ETHUSDT,1427.1,1426.26,1434.28,1425.55,36972.145,52835842
1678536000,ETHUSDT,1426.21,1427.1,1430.53,1416.57,86347.305,123078504
1678532400,ETHUSDT,1434.86,1426.22,1438.45,1425.28,55151.15,78989071
1678528800,ETHUSDT,1434.26,1434.86,1441.0,1425.23,60144.25,86291651
1678525200,ETHUSDT,1416.66,1434.26,1450.51,1408.4,95320.484,136055946
1678521600,ETHUSDT,1457.2,1416.65,1463.0,1414.15,114719.04,165797856
1678518000,ETHUSDT,1462.17,1457.19,1462.97,1446.8,61853.156,90050379
1678514400,ETHUSDT,1460.34,1462.17,1466.91,1456.88,50875.465,74438712
1678510800,ETHUSDT,1458.32,1460.33,1462.74,1447.56,77822.586,113398005
1678507200,ETHUSDT,1464.84,1458.31,1465.54,1453.14,82282.92,119988806
1678503600,ETHUSDT,1466.24,1464.84,1473.25,1457.47,99426.31,145532479
1678500000,ETHUSDT,1435.57,1466.24,1476.0,1435.54,94253.266,137112565
1678496400,ETHUSDT,1426.43,1435.57,1441.98,1424.57,54175.684,77581010
1678492800,ETHUSDT,1424.15,1426.44,1433.45,1422.73,31495.016,45006796
1678489200,ETHUSDT,1424.6,1424.15,1429.51,1416.27,37296.758,53083680
1678485600,ETHUSDT,1417.94,1424.61,1428.52,1406.46,38982.83,55118725
1678482000,ETHUSDT,1423.49,1417.93,1427.5,1415.07,15045.801,21374570
1678478400,ETHUSDT,1403.85,1423.5,1426.24,1403.62,19256.945,27257334
1678474800,ETHUSDT,1407.42,1403.85,1415.25,1401.97,24524.102,34521634
1678471200,ETHUSDT,1414.99,1407.41,1419.4,1399.99,32437.994,45674944
1678467600,ETHUSDT,1417.03,1414.99,1439.43,1410.0,47535.03,67654155
1678464000,ETHUSDT,1401.24,1417.03,1420.39,1397.02,43705.895,61487867
1678460400,ETHUSDT,1424.64,1401.23,1425.05,1382.0,68801.54,96478730
1678456800,ETHUSDT,1396.07,1424.63,1434.68,1392.29,90133.664,127259951
1678453200,ETHUSDT,1384.61,1396.08,1400.72,1383.66,37396.22,52073168
1678449600,ETHUSDT,1379.55,1384.6,1388.8,1373.97,40356.496,55773116
