time,keyword,positive,negative,neutral
1677952800,#ETH,38,4,137
1677949200,#ETH,33,2,162
1677945600,#ETH,36,2,162
1677942000,#ETH,24,3,164
1677938400,#ETH,24,4,137
1677934800,#ETH,31,7,162
1677931200,#ETH,22,7,135
1677927600,#ETH,27,9,118
1677924000,#ETH,14,6,115
1677920400,#ETH,26,4,108
1677916800,#ETH,19,5,70
1677913200,#ETH,11,4,101
1677909600,#ETH,18,6,59
1677906000,#ETH,14,5,75
1677902400,#ETH,15,6,100
1677898800,#ETH,25,4,78
1677895200,#ETH,19,5,67
1677891600,#ETH,28,6,106
1677888000,#ETH,31,7,90
1677884400,#ETH,28,5,111
1677880800,#ETH,24,4,112
1677877200,#ETH,30,7,149
1677873600,#ETH,41,6,134
1677870000,#ETH,33,7,160
1677866400,#ETH,37,7,156
1677862800,#ETH,34,7,159
1677859200,#ETH,30,5,165
1677855600,#ETH,25,6,169
1677852000,#ETH,28,6,154
1677848400,#ETH,29,7,145
1677844800,#ETH,29,6,164
1677841200,#ETH,33,6,146
1677837600,#ETH,23,5,150
1677834000,#ETH,20,5,151
1677830400,#ETH,27,7,132
1677826800,#ETH,30,7,126
1677823200,#ETH,20,4,110
1677819600,#ETH,19,0,105
1677816000,#ETH,19,5,129
1677812400,#ETH,27,5,147
1677808800,#ETH,25,9,132
1677805200,#ETH,26,1,124
1677801600,#ETH,27,5,114
1677798000,#ETH,21,0,122
1677794400,#ETH,20,2,130
1677790800,#ETH,31,4,157
1677787200,#ETH,26,2,146
1677783600,#ETH,32,7,151
1677780000,#ETH,33,5,162
1677776400,#ETH,25,6,169
1677772800,#ETH,23,2,175
1677769200,#ETH,23,6,171
1677765600,#ETH,18,4,178
1677762000,#ETH,34,2,164
1677758400,#ETH,32,6,162
1677754800,#ETH,34,6,155
1677751200,#ETH,18,7,139
1677747600,#ETH,25,0,128
1677744000,#ETH,29,2,123
1677740400,#ETH,21,4,116
1677736800,#ETH,19,1,84
1677733200,#ETH,25,0,95
1677729600,#ETH,14,5,93
1677726000,#ETH,12,1,91
1677722400,#ETH,23,3,92
