,Timestamp,Open,High,Low,close,Volume_(BTC),Volume_(Currency),Weighted_Price
9165,1325867820,6.4,6.4,6.4,6.4,0.5,3.2,6.4
9247,1325872740,6.4,6.4,6.4,6.4,1.55038759,9.922480576,6.4
9248,1325872800,6.4,6.4,6.4,6.4,0.83875968,5.368061952,6.4
9290,1325875320,6.4,6.4,6.4,6.4,9.11085273,58.309457472,6.4
9386,1325881080,6.3,6.3,6.3,6.3,0.5,3.15,6.3
9387,1325881140,6.2,6.2,6.2,6.2,0.5,3.1,6.2
9389,1325881260,6.1,6.1,6.1,6.1,0.5,3.05,6.1
9390,1325881320,6.0,6.0,6.0,6.0,1.0,6.0,6.0
10702,1325960040,6.8,6.8,6.8,6.8,0.29585799,2.011834332,6.8
11908,1326032400,6.9,6.9,6.9,6.9,4.0,27.6,6.9
12459,1326065460,7.0,7.0,7.0,7.0,1.0,7.0,7.0
12768,1326084000,6.99,6.99,6.9,6.9,5.0,34.69854,6.939708
13212,1326110640,6.9,6.9,6.9,6.9,7.04348837,48.600069753,6.9
13214,1326110760,6.9,6.9,6.9,6.9,1.46842878,10.132158582,6.9
13215,1326110820,6.9,6.9,6.9,6.9,1.47275405,10.162002945,6.9
13216,1326110880,6.9,6.9,6.9,6.9,1.52207002,10.502283138,6.9
13217,1326110940,6.9,6.9,6.9,6.9,0.69925878,4.824885582,6.9
13223,1326111300,6.5,6.5,6.5,6.5,1.5600624,10.1404056,6.5
13224,1326111360,6.5,6.5,6.5,6.5,1.5600624,10.1404056,6.5
13225,1326111420,6.5,6.5,6.5,6.5,1.56985871,10.204081615,6.5
13226,1326111480,6.5,6.5,6.5,6.5,1.5576324,10.1246106,6.5
13227,1326111540,6.5,6.5,6.5,6.5,1.56494523,10.172143995,6.5
13228,1326111600,6.5,6.5,6.5,6.5,1.54559505,10.046367825,6.5
13232,1326111840,6.5,6.5,6.5,6.5,13.6,88.4,6.5
13294,1326115560,6.58,6.58,6.58,6.58,1.51975684,10.000000007,6.58
13295,1326115620,6.6,6.6,6.6,6.6,1.48024316,9.769604856,6.6
13296,1326115680,6.6,6.6,6.6,6.6,0.8,5.28,6.6
13301,1326115980,6.57,6.57,6.57,6.57,0.76103501,5.0000000157,6.57
13326,1326117480,6.5,6.5,6.5,6.5,0.04184381,0.271984765,6.5
13361,1326119580,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13414,1326122760,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13415,1326122820,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13416,1326122880,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13431,1326123780,6.6,6.6,6.6,6.6,1.51745068,10.015174488,6.6
13444,1326124560,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13446,1326124680,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13448,1326124800,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13451,1326124980,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13452,1326125040,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13454,1326125160,6.6,6.6,6.6,6.6,1.51515152,10.000000032,6.6
13520,1326129120,6.36,6.36,6.36,6.36,0.31446541,2.0000000076,6.36
13535,1326130020,6.38,6.38,6.38,6.38,0.55799373,3.5599999974,6.38
13571,1326132180,6.49,6.49,6.49,6.49,0.56086287,3.6400000263,6.49
13573,1326132300,6.48,6.48,6.48,6.48,1.0,6.48,6.48
13670,1326138120,6.35,6.35,6.35,6.35,1.0,6.35,6.35
13672,1326138240,6.23,6.23,6.23,6.23,1.0,6.23,6.23
13865,1326149820,6.3,6.3,6.3,6.3,1.0,6.3,6.3
14524,1326189360,6.24,6.24,6.24,6.24,3.2051282,19.999999968,6.24
14525,1326189420,6.24,6.24,6.24,6.24,1.6025641,9.999999984,6.24
14526,1326189480,6.24,6.24,6.24,6.24,1.6025641,9.999999984,6.24
14527,1326189540,6.24,6.24,6.24,6.24,1.6025641,9.999999984,6.24
14528,1326189600,6.24,6.24,6.24,6.24,1.2371795,7.72000008,6.24
14570,1326192120,6.4,6.4,6.4,6.4,1.0,6.4,6.4
14708,1326200400,6.54,6.54,6.54,6.54,1.0,6.54,6.54
14709,1326200460,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
14710,1326200520,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
14711,1326200580,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
14712,1326200640,6.54,6.54,6.54,6.54,1.53846154,10.061538472,6.54
14713,1326200700,6.54,6.54,6.54,6.54,1.53846154,10.061538472,6.54
14718,1326201000,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
14719,1326201060,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
14720,1326201120,6.54,6.54,6.54,6.54,1.52905199,10.000000015,6.54
14724,1326201360,6.54,6.54,6.54,6.54,0.32568807,2.1299999778,6.54
14823,1326207300,6.55,6.55,6.55,6.55,0.56086287,3.6736517985,6.55
14828,1326207600,6.55,6.55,6.55,6.55,1.52671756,10.000000018,6.55
14845,1326208620,6.55,6.55,6.55,6.55,10.14,66.417,6.55
14849,1326208860,6.7,6.7,6.7,6.7,0.76103501,5.098934567,6.7
14850,1326208920,6.7,6.7,6.7,6.7,1.5037594,10.07518798,6.7
14851,1326208980,6.7,6.7,6.7,6.7,1.5128593,10.13615731,6.7
14852,1326209040,6.7,6.7,6.7,6.7,7.6528593,51.27415731,6.7
14869,1326210060,6.55,6.55,6.55,6.55,1.52905199,10.015290535,6.55
14872,1326210240,6.55,6.55,6.55,6.55,1.53139357,10.030627883,6.55
15020,1326219120,7.1,7.1,7.1,7.1,4.0,28.4,7.1
15021,1326219180,7.1,7.1,7.1,7.1,1.51057402,10.725075542,7.1
15022,1326219240,7.1,7.1,7.1,7.1,1.51057402,10.725075542,7.1
15023,1326219300,7.1,7.1,7.1,7.1,0.12533083,0.889848893,7.1
15305,1326236220,7.14,7.14,7.14,7.14,4.59803922,32.830000031,7.14
15793,1326265500,7.14,7.14,7.14,7.14,1.40196078,10.009999969,7.14
15794,1326265560,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15795,1326265620,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15796,1326265680,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15797,1326265740,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15798,1326265800,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15799,1326265860,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15800,1326265920,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15801,1326265980,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15802,1326266040,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
15803,1326266100,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
15804,1326266160,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
15805,1326266220,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
15807,1326266340,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
15808,1326266400,7.14,7.14,7.14,7.14,1.23712009,8.8330374426,7.14
15860,1326269520,6.25,6.25,6.25,6.25,10.15,63.4375,6.25
15861,1326269580,6.25,6.25,6.25,6.25,0.85,5.3125,6.25
15954,1326275160,7.0,7.0,7.0,7.0,1.0,7.0,7.0
16123,1326285300,7.2,7.2,7.2,7.2,1.0,7.2,7.2
16124,1326285360,7.2,7.2,7.2,7.2,1.41442716,10.183875552,7.2
16125,1326285420,7.2,7.2,7.2,7.2,1.41442716,10.183875552,7.2
16126,1326285480,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
16127,1326285540,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
16129,1326285660,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
16130,1326285720,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
16131,1326285780,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
16132,1326285840,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
16133,1326285900,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
16134,1326285960,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
16135,1326286020,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
16136,1326286080,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
16137,1326286140,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
16138,1326286200,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
16139,1326286260,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
16140,1326286320,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
16142,1326286440,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
16143,1326286500,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
16144,1326286560,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
16145,1326286620,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
16146,1326286680,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
16147,1326286740,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
16206,1326290280,7.21,7.21,7.21,7.21,3.0,21.63,7.21
16207,1326290340,7.21,7.21,7.21,7.21,1.40646976,10.14064697,7.21
16233,1326291900,7.22,7.33,7.22,7.33,12.92299,93.987257713,7.2728724322
16270,1326294120,6.9,6.9,6.9,6.9,1.0,6.9,6.9
16487,1326307140,7.0,7.0,7.0,7.0,4.97428571,34.81999997,7.0
16640,1326316320,7.0,7.0,7.0,7.0,8.02571429,56.18000003,7.0
16643,1326316500,7.0,7.0,7.0,7.0,8.60428571,60.22999997,7.0
16992,1326337440,6.95,6.95,6.95,6.95,8.8,61.16,6.95
17426,1326363480,7.3,7.3,7.3,7.3,9.54109589,69.649999997,7.3
17581,1326372780,7.3,7.3,7.3,7.3,0.45890411,3.350000003,7.3
17628,1326375600,7.25,7.25,7.25,7.25,11.594178,84.0577905,7.25
17629,1326375660,7.25,7.25,7.25,7.25,1.447178,10.4920405,7.25
17630,1326375720,7.38,7.38,7.38,7.38,39.4,290.772,7.38
17670,1326378120,7.36,7.36,7.36,7.36,5.99728261,44.14000001,7.36
17680,1326378720,6.8,6.8,6.8,6.8,1.0,6.8,6.8
17739,1326382260,6.7,6.7,6.7,6.7,1.0,6.7,6.7
17742,1326382440,6.6,6.6,6.6,6.6,1.0,6.6,6.6
17886,1326391080,7.35,7.35,7.35,7.35,1.0829932,7.96000002,7.35
17901,1326391980,6.51,6.51,6.51,6.51,0.98,6.3798,6.51
18368,1326420000,6.8,6.8,6.8,6.8,1.0,6.8,6.8
18543,1326430500,6.7,6.7,6.7,6.7,1.0,6.7,6.7
18971,1326456180,6.7,6.7,6.7,6.7,1.03880597,6.959999999,6.7
19031,1326459780,6.7,6.7,6.7,6.7,0.84328358,5.649999986,6.7
19045,1326460620,6.7,6.7,6.7,6.7,0.11791045,0.790000015,6.7
19062,1326461640,6.99,6.99,6.99,6.99,2.11791045,14.804194045,6.99
19063,1326461700,6.99,6.99,6.82,6.82,1.46627566,10.002816456,6.821920822
19091,1326463380,7.0,7.0,7.0,7.0,1.51,10.57,7.0
19092,1326463440,7.0,7.25,6.86,7.25,5.57496732,40.036599949,7.1814950028
19093,1326463500,7.25,7.35,7.25,7.35,2.79976543,20.490000048,7.3184702647
19094,1326463560,7.35,7.35,6.86,6.86,1.45772595,10.578298867,7.2567130107
19095,1326463620,7.36,7.36,7.36,7.36,1.08152174,7.9600000064,7.36
19114,1326464760,7.0,7.0,6.9,6.9,1.45560408,10.143668152,6.9686999998
19116,1326464880,6.9,6.9,6.9,6.9,0.54439592,3.756331848,6.9
19119,1326465060,6.9,6.9,6.9,6.9,1.0,6.9,6.9
19279,1326474660,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
19280,1326474720,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
19281,1326474780,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
19283,1326474900,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
19284,1326474960,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
19285,1326475020,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
19291,1326475380,6.8,6.8,6.8,6.8,1.0,6.8,6.8
19292,1326475440,6.76,6.9,6.76,6.9,0.821,5.5977994084,6.8182696814
19440,1326484320,6.7,6.7,6.7,6.7,1.0,6.7,6.7
19453,1326485100,7.25,7.25,7.25,7.25,5.91,42.8475,7.25
19454,1326485160,7.25,7.25,7.25,7.25,1.48148148,10.74074073,7.25
19455,1326485220,7.25,7.25,7.25,7.25,1.48148148,10.74074073,7.25
19456,1326485280,7.25,7.25,7.25,7.25,1.47928994,10.724852065,7.25
19463,1326485700,7.34,7.34,7.34,7.34,0.95231608,6.9900000272,7.34
19480,1326486720,7.34,7.34,7.34,7.34,1.04768392,7.6899999728,7.34
19482,1326486840,6.72,6.72,6.72,6.72,0.99107143,6.6600000096,6.72
19685,1326499020,6.6,6.6,6.6,6.6,1.0,6.6,6.6
19729,1326501660,6.5,6.5,6.5,6.5,1.54083205,10.015408325,6.5
19731,1326501780,6.5,6.5,6.5,6.5,1.54083205,10.015408325,6.5
19745,1326502620,6.5,6.5,6.5,6.5,1.54559505,10.046367825,6.5
19747,1326502740,6.5,6.5,6.5,6.5,4.74,30.81,6.5
19756,1326503280,6.5,6.5,6.5,6.5,1.54320988,10.03086422,6.5
19757,1326503340,6.5,6.5,6.4,6.4,1.68953097,10.881951305,6.4408119758
20930,1326573720,6.3,6.3,6.3,6.3,1.0,6.3,6.3
20931,1326573780,6.3,6.3,6.3,6.3,1.5128593,9.53101359,6.3
20932,1326573840,6.3,6.3,6.3,6.3,1.51057401,9.516616263,6.3
20933,1326573900,6.3,6.3,6.3,6.3,0.21256669,1.339170147,6.3
21753,1326623100,7.15,7.15,7.15,7.15,11.42450142,81.685185153,7.15
21755,1326623220,7.15,7.15,7.15,7.15,1.42450142,10.185185153,7.15
21756,1326623280,7.15,7.15,7.15,7.15,1.42450142,10.185185153,7.15
21757,1326623340,7.15,7.15,7.15,7.15,1.42450142,10.185185153,7.15
21758,1326623400,7.15,7.15,7.15,7.15,1.00129502,7.159259393,7.15
23518,1326729000,6.2,6.2,6.2,6.2,1.0,6.2,6.2
23519,1326729060,6.2,6.2,6.2,6.2,1.49925037,9.295352294,6.2
23520,1326729120,6.2,6.2,6.2,6.2,0.90074963,5.584647706,6.2
23633,1326735900,7.1,7.1,7.1,7.1,6.0,42.6,7.1
23634,1326735960,7.1,7.1,7.1,7.1,1.43884892,10.215827332,7.1
23636,1326736080,7.1,7.1,7.1,7.1,1.44300144,10.245310224,7.1
23637,1326736140,7.1,7.1,7.1,7.1,0.36744541,2.608862411,7.1
24733,1326801900,6.5,6.5,6.5,6.5,1.0,6.5,6.5
24734,1326801960,6.5,6.5,6.5,6.5,1.0,6.5,6.5
24864,1326809760,6.9,6.9,6.9,6.9,2.0,13.8,6.9
24912,1326812640,6.9,6.9,6.9,6.9,7.24637681,49.999999989,6.9
25361,1326839580,6.4,6.4,6.4,6.4,1.0,6.4,6.4
25362,1326839640,6.3,6.3,6.2,6.2,1.62337662,10.164935044,6.2616000001
25363,1326839700,6.2,6.2,6.0,6.0,1.77619893,10.832518256,6.0987077928
25364,1326839760,6.0,6.0,6.0,6.0,1.77619893,10.65719358,6.0
25366,1326839880,6.0,6.0,6.0,6.0,1.9047619,11.4285714,6.0
25367,1326839940,6.0,6.0,6.0,6.0,1.9047619,11.4285714,6.0
25368,1326840000,6.0,6.0,6.0,6.0,2.01612903,12.09677418,6.0
25369,1326840060,6.0,6.0,6.0,6.0,1.94552529,11.67315174,6.0
25370,1326840120,6.0,6.0,6.0,6.0,1.90839695,11.4503817,6.0
25371,1326840180,6.0,6.0,6.0,6.0,1.85873606,11.15241636,6.0
25372,1326840240,6.0,6.0,6.0,6.0,1.7921147,10.7526882,6.0
25373,1326840300,6.0,6.0,6.0,6.0,1.7699115,10.619469,6.0
25374,1326840360,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
25375,1326840420,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
25376,1326840480,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
25377,1326840540,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
25379,1326840660,6.0,6.0,6.0,6.0,1.0849979,6.5099874,6.0
25384,1326840960,6.0,6.0,6.0,6.0,4.15,24.9,6.0
25387,1326841140,6.0,6.0,6.0,6.0,15.53236857,93.19421142,6.0
25390,1326841320,6.0,6.0,6.0,6.0,20.26763143,121.60578858,6.0
25523,1326849300,5.99,5.99,5.99,5.99,1.63132137,9.7716150063,5.99
25524,1326849360,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
25525,1326849420,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
25526,1326849480,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
25528,1326849600,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
25529,1326849660,5.99,5.99,5.99,5.99,1.63934426,9.8196721174,5.99
25530,1326849720,5.99,5.99,5.99,5.99,1.63132137,9.7716150063,5.99
25531,1326849780,5.99,5.99,5.99,5.99,1.63934426,9.8196721174,5.99
25532,1326849840,5.99,5.99,5.99,5.99,1.57232704,9.4182389696,5.99
25533,1326849900,5.99,5.99,5.99,5.99,1.57480314,9.4330708086,5.99
25534,1326849960,5.99,5.99,5.99,5.99,1.57480314,9.4330708086,5.99
25535,1326850020,5.99,5.99,5.99,5.99,17.6618977,105.79476722,5.99
25536,1326850080,5.99,5.99,5.99,5.99,1.61550888,9.6768981912,5.99
25537,1326850140,5.99,5.99,5.99,5.99,12.97634668,77.728316613,5.99
25538,1326850200,6.01,6.01,6.01,6.01,2.0,12.02,6.01
25539,1326850260,6.02,6.3,6.02,6.3,31.36321461,191.53840718,6.1071038017
25658,1326857400,6.1,6.1,6.02,6.02,1.67785235,10.180671147,6.06768
25661,1326857580,6.02,6.02,6.02,6.02,0.89943471,5.4145969542,6.02
25956,1326875280,6.5,6.5,6.5,6.5,8.59249946,55.85124649,6.5
25957,1326875340,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25958,1326875400,6.5,6.5,6.5,6.5,1.64473684,10.69078946,6.5
25959,1326875460,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25961,1326875580,6.5,6.5,6.5,6.5,1.63398693,10.620915045,6.5
25962,1326875640,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25963,1326875700,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25964,1326875760,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25965,1326875820,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25966,1326875880,6.5,6.5,6.5,6.5,1.63398693,10.620915045,6.5
25967,1326875940,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25968,1326876000,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
25969,1326876060,6.5,6.5,6.5,6.5,1.63398693,10.620915045,6.5
25970,1326876120,6.5,6.5,6.5,6.5,0.31558915,2.051329475,6.5
25985,1326877020,6.5,6.5,6.5,6.5,1.57728706,10.25236589,6.5
26254,1326893160,6.0,6.0,6.0,6.0,12.0,72.0,6.0
26328,1326897600,6.0,6.0,6.0,6.0,3.42362319,20.54173914,6.0
26336,1326898080,7.1,7.1,7.1,7.1,2.0,14.2,7.1
27260,1326953520,5.52,5.52,5.52,5.52,2.0,11.04,5.52
27479,1326966660,7.0,7.0,7.0,7.0,4.52,31.64,7.0
27494,1326967560,6.19,6.19,6.19,6.19,30.0,185.7,6.19
27495,1326967620,6.19,6.19,6.19,6.19,27.1734234,168.20349085,6.19
27549,1326970860,6.09,6.09,6.09,6.09,29.76844088,181.28980496,6.09
27920,1326993120,7.0,7.0,7.0,7.0,18.90428571,132.32999997,7.0
27996,1326997680,6.15,6.15,6.15,6.15,22.59501748,138.9593575,6.15
27997,1326997740,6.15,6.15,6.15,6.15,12.504817,76.90462455,6.15
27998,1326997800,6.01,6.01,6.01,6.01,6.0,36.06,6.01
27999,1326997860,6.01,6.01,6.01,6.01,5.0,30.05,6.01
28049,1327000860,6.07,6.07,6.07,6.07,11.504817,69.83423919,6.07
28289,1327015260,6.28,6.28,6.28,6.28,19.0,119.32,6.28
28291,1327015380,6.28,6.28,6.28,6.28,28.59501748,179.57670977,6.28
28293,1327015500,6.22,6.22,6.22,6.22,29.15,181.313,6.22
28790,1327045320,6.9,6.9,6.9,6.9,1.0388866,7.16831754,6.9
28989,1327057260,6.9,6.9,6.9,6.9,2.65966412,18.351682428,6.9
28992,1327057440,6.9,6.9,6.9,6.9,0.51279965,3.538317585,6.9
29023,1327059300,6.9,6.9,6.9,6.9,22.4024264,154.57674216,6.9
29024,1327059360,6.9,6.9,6.9,6.9,10.0,69.0,6.9
29025,1327059420,6.85,6.85,6.85,6.85,20.0,137.0,6.85
29086,1327063080,6.55,6.55,6.55,6.55,26.0,170.3,6.55
29087,1327063140,6.55,6.55,6.55,6.55,11.39565621,74.641548176,6.55
29260,1327073520,6.95,6.95,6.95,6.95,0.31506415,2.1896958425,6.95
29261,1327073580,6.95,6.95,6.95,6.95,1.5015015,10.435435425,6.95
30971,1327176180,6.3,6.3,6.3,6.3,14.60434379,92.007365877,6.3
30972,1327176240,6.3,6.3,6.3,6.3,26.65359569,167.91765285,6.3
31023,1327179300,6.28,6.28,6.28,6.28,15.0,94.2,6.28
31037,1327180140,6.28,6.28,6.28,6.28,24.83260449,155.9487562,6.28
31069,1327182060,6.77,6.77,6.77,6.77,0.32330844,2.1887981388,6.77
31670,1327218120,6.79,6.79,6.79,6.79,0.32236107,2.1888316653,6.79
31671,1327218180,6.79,6.79,6.79,6.79,1.56739812,10.642633235,6.79
31680,1327218720,6.28,6.28,6.28,6.28,25.721049,161.52818772,6.28
32071,1327242180,6.28,6.28,6.28,6.28,0.16,1.0048,6.28
32110,1327244520,6.09,6.09,6.09,6.09,25.721049,156.64118841,6.09
32111,1327244580,6.03,6.03,6.03,6.03,25.381006,153.04746618,6.03
32158,1327247400,6.83,6.83,6.83,6.83,1.74816984,11.940000007,6.83
32463,1327265700,6.79,6.79,6.79,6.79,0.65,4.4135,6.79
33223,1327311300,6.5,6.5,6.5,6.5,0.37384615,2.429999975,6.5
33306,1327316280,6.4,6.4,6.4,6.4,0.3625,2.32,6.4
33366,1327319880,6.0,6.0,6.0,6.0,0.35,2.1,6.0
33560,1327331520,6.35,6.35,6.35,6.35,37.19338388,236.17798764,6.35
33568,1327332000,6.35,6.35,6.35,6.35,7.68744388,48.815268638,6.35
33569,1327332060,6.35,6.35,6.35,6.35,10.7465498,68.24059123,6.35
33616,1327334880,6.4,6.4,6.4,6.4,4.6375,29.68,6.4
33620,1327335120,6.5,6.5,6.5,6.5,6.88769231,44.770000015,6.5
33641,1327336380,6.5,6.5,6.5,6.5,0.42769231,2.780000015,6.5
33702,1327340040,6.5,6.5,6.5,6.5,0.31076923,2.019999995,6.5
33710,1327340520,6.52,6.52,6.52,6.52,1.52607362,9.9500000024,6.52
33747,1327342740,6.52,6.52,6.52,6.52,24.41717791,159.19999997,6.52
34229,1327371660,6.52,6.52,6.52,6.52,0.70705521,4.6099999692,6.52
34572,1327392240,6.0,6.0,6.0,6.0,6.0,36.0,6.0
